INDIVIDUAL,Lake,SITE,DATE ,COLLECTOR,# of rocks,rock 1,rock 2,rock 3,rock 4,rock 5,EXAMINED BY,DATE EXAMINED,Microscope,MAGNIFICATION,Order,Family,Genus ,SIZE (mm),Notes 
6,Albion,Albion_5IN,7/5/18,SY,5,1,0.5,1.1,0.3,0.6,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,12.5,
7,Albion,Albion_5IN,7/5/18,SY,5,1,0.5,1.1,0.3,0.6,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,9.375,
8,Albion,Albion_5IN,7/5/18,SY,5,1,0.5,1.1,0.3,0.6,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,3.125,
9,Albion,Albion_5IN,7/5/18,SY,5,1,0.5,1.1,0.3,0.6,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,3.125,
10,Albion,Albion_5IN,7/5/18,SY,5,1,0.5,1.1,0.3,0.6,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,3.125,
11,Albion,Albion_5IN,7/5/18,SY,5,1,0.5,1.1,0.3,0.6,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,6.25,
1,Albion,Albion_5IN,7/5/18,SY,5,1,0.5,1.1,0.3,0.6,SY,7/11/18,SZ51,0.8,diptera,chironomidae,,3.125,
2,Albion,Albion_5IN,7/5/18,SY,5,1,0.5,1.1,0.3,0.6,SY,7/11/18,SZ51,0.8,diptera,chironomidae,,3.125,
3,Albion,Albion_5IN,7/5/18,SY,5,1,0.5,1.1,0.3,0.6,SY,7/11/18,SZ51,0.8,diptera,chironomidae,,3.125,
4,Albion,Albion_5IN,7/5/18,SY,5,1,0.5,1.1,0.3,0.6,SY,7/11/18,SZ51,0.8,diptera,chironomidae,,3.125,
1,Albion,Albion_5IN,7/5/18,SY,5,1,0.5,1.1,0.3,0.6,SY,7/11/18,SZ51,0.8,trichop,leptoceridae,,12.5,
2,Albion,Albion_5IN,7/5/18,SY,5,1,0.5,1.1,0.3,0.6,SY,7/11/18,SZ51,0.8,trichop,leptoceridae,,10,
3,Albion,Albion_5IN,7/5/18,SY,5,1,0.5,1.1,0.3,0.6,SY,7/11/18,SZ51,0.8,trichop,leptoceridae,,10,
1,GL1,Gl1_2E,7/12/18,SY,5,1,2.1,1.7,0.8,0.9,SY,7/20/18,SZ51,0.8,diptera,chironomidae,,3.125,
2,GL1,Gl1_2E,7/12/18,SY,5,1,2.1,1.7,0.8,0.9,SY,7/20/18,SZ51,0.8,diptera,chironomidae,,3.125,
3,GL1,Gl1_2E,7/12/18,SY,5,1,2.1,1.7,0.8,0.9,SY,7/20/18,SZ51,0.8,diptera,chironomidae,,3.125,
4,GL1,Gl1_2E,7/12/18,SY,5,1,2.1,1.7,0.8,0.9,SY,7/20/18,SZ51,0.8,diptera,chironomidae,,3.125,
5,GL1,Gl1_2E,7/12/18,SY,5,1,2.1,1.7,0.8,0.9,SY,7/20/18,SZ51,0.8,diptera,chironomidae,,3.125,
6,GL1,Gl1_2E,7/12/18,SY,5,1,2.1,1.7,0.8,0.9,SY,7/20/18,SZ51,0.8,diptera,chironomidae,,3.125,
7,GL1,Gl1_2E,7/12/18,SY,5,1,2.1,1.7,0.8,0.9,SY,7/20/18,SZ51,0.8,diptera,chironomidae,,3.125,
8,GL1,Gl1_2E,7/12/18,SY,5,1,2.1,1.7,0.8,0.9,SY,7/20/18,SZ51,0.8,diptera,chironomidae,,3.125,
9,GL1,Gl1_2E,7/12/18,SY,5,1,2.1,1.7,0.8,0.9,SY,7/20/18,SZ51,0.8,diptera,chironomidae,,3.125,
10,GL1,Gl1_2E,7/12/18,SY,5,1,2.1,1.7,0.8,0.9,SY,7/20/18,SZ51,0.8,diptera,chironomidae,,3.125,
11,GL1,Gl1_2E,7/12/18,SY,5,1,2.1,1.7,0.8,0.9,SY,7/20/18,SZ51,0.8,diptera,chironomidae,,3.125,
12,GL1,Gl1_2E,7/12/18,SY,5,1,2.1,1.7,0.8,0.9,SY,7/20/18,SZ51,0.8,diptera,chironomidae,,3.125,
13,GL1,Gl1_2E,7/12/18,SY,5,1,2.1,1.7,0.8,0.9,SY,7/20/18,SZ51,0.8,diptera,chironomidae,,2,
14,GL1,Gl1_2E,7/12/18,SY,5,1,2.1,1.7,0.8,0.9,SY,7/20/18,SZ51,0.8,diptera,chironomidae,,2,
15,GL1,Gl1_2E,7/12/18,SY,5,1,2.1,1.7,0.8,0.9,SY,7/20/18,SZ51,0.8,diptera,chironomidae,,2,
16,GL1,Gl1_2E,7/12/18,SY,5,1,2.1,1.7,0.8,0.9,SY,7/20/18,SZ51,0.8,diptera,chironomidae,,2,
17,GL1,Gl1_2E,7/12/18,SY,5,1,2.1,1.7,0.8,0.9,SY,7/20/18,SZ51,0.8,diptera,chironomidae,,2,
